"ExchNameCME","GroupNameCME","ExchCodeDDF","GroupNameDDF","IsIgnoreDDF","FutureDisplay","FutureReference","OptionDisplay","OptionReference","SpreadDisplay","SpreadReference","StrikeHack","Comment"
"XBMF","BR:B34","2","BR:B34","Y","0","0","0","0","0","0","0",
"XBMF","BR:B37","2","BR:B37","Y","0","0","0","0","0","0","0",
"XBMF","BR:B40","2","BR:B40","Y","0","0","0","0","0","0","0",
"XBMF","BR:BC5","2","BR:BC5","Y","0","0","0","0","0","0","0",
"XBMF","BR:BGI","2","BR:BGI","Y","0","0","0","0","0","0","0",
"XBMF","BR:BR1","2","BR:BR1","Y","0","0","0","0","0","0","0",
"XBMF","BR:BRI","2","BR:BRI","Y","0","0","0","0","0","0","0",
"XBMF","BR:CCM","2","BR:CCM","Y","0","0","0","0","0","0","0",
"XBMF","BR:COP","2","BR:COP","Y","0","0","0","0","0","0","0",
"XBMF","BR:CPG","2","BR:CPG","Y","0","0","0","0","0","0","0",
"XBMF","BR:CR1","2","BR:CR1","Y","0","0","0","0","0","0","0",
"XBMF","BR:CRV","2","BR:CRV","Y","0","0","0","0","0","0","0",
"XBMF","BR:CTM","2","BR:CTM","Y","0","0","0","0","0","0","0",
"XBMF","BR:D12","2","BR:D12","Y","0","0","0","0","0","0","0",
"XBMF","BR:D13","2","BR:D13","Y","0","0","0","0","0","0","0",
"XBMF","BR:D14","2","BR:D14","Y","0","0","0","0","0","0","0",
"XBMF","BR:DAP","2","BR:DAP","Y","0","0","0","0","0","0","0",
"XBMF","BR:DDI","2","BR:DDI","Y","0","0","0","0","0","0","0",
"XBMF","BR:DDM","2","BR:DDM","Y","0","0","0","0","0","0","0",
"XBMF","BR:DI1","2","BR:DI1","Y","0","0","0","0","0","0","0",
"XBMF","BR:DLA","2","BR:DLA","Y","0","0","0","0","0","0","0",
"XBMF","BR:DOL","2","BR:DOL","Y","0","0","0","0","0","0","0",
"XBMF","BR:DR1","2","BR:DR1","Y","0","0","0","0","0","0","0",
"XBMF","BR:EBR","2","BR:EBR","Y","0","0","0","0","0","0","0",
"XBMF","BR:ETN","2","BR:ETN","Y","0","0","0","0","0","0","0",
"XBMF","BR:EUR","2","BR:EUR","Y","0","0","0","0","0","0","0",
"XBMF","BR:FRC","2","BR:FRC","Y","0","0","0","0","0","0","0",
"XBMF","BR:FRG","2","BR:FRG","Y","0","0","0","0","0","0","0",
"XBMF","BR:FRI","2","BR:FRI","Y","0","0","0","0","0","0","0",
"XBMF","BR:FRP","2","BR:FRP","Y","0","0","0","0","0","0","0",
"XBMF","BR:IAP","2","BR:IAP","Y","0","0","0","0","0","0","0",
"XBMF","BR:ICF","2","BR:ICF","Y","0","0","0","0","0","0","0",
"XBMF","BR:IDI","2","BR:IDI","Y","0","0","0","0","0","0","0",
"XBMF","BR:IGM","2","BR:IGM","Y","0","0","0","0","0","0","0",
"XBMF","BR:IND","2","BR:IND","Y","0","0","0","0","0","0","0",
"XBMF","BR:IR1","2","BR:IR1","Y","0","0","0","0","0","0","0",
"XBMF","BR:ISU","2","BR:ISU","Y","0","0","0","0","0","0","0",
"XBMF","BR:MR1","2","BR:MR1","Y","0","0","0","0","0","0","0",
"XBMF","BR:OZ1","2","BR:OZ1","Y","0","0","0","0","0","0","0",
"XBMF","BR:SCC","2","BR:SCC","Y","0","0","0","0","0","0","0",
"XBMF","BR:SOJ","2","BR:SOJ","Y","0","0","0","0","0","0","0",
"XBMF","BR:SR1","2","BR:SR1","Y","0","0","0","0","0","0","0",
"XBMF","BR:T10","2","BR:T10","Y","0","0","0","0","0","0","0",
"XBMF","BR:TT0","2","BR:TT0","Y","0","0","0","0","0","0","0",
"XBMF","BR:TT1","2","BR:TT1","Y","0","0","0","0","0","0","0",
"XBMF","BR:TT2","2","BR:TT2","Y","0","0","0","0","0","0","0",
"XBMF","BR:TT3","2","BR:TT3","Y","0","0","0","0","0","0","0",
"XBMF","BR:TT4","2","BR:TT4","Y","0","0","0","0","0","0","0",
"XBMF","BR:TT5","2","BR:TT5","Y","0","0","0","0","0","0","0",
"XBMF","BR:TT6","2","BR:TT6","Y","0","0","0","0","0","0","0",
"XBMF","BR:TT7","2","BR:TT7","Y","0","0","0","0","0","0","0",
"XBMF","BR:TT8","2","BR:TT8","Y","0","0","0","0","0","0","0",
"XBMF","BR:TT9","2","BR:TT9","Y","0","0","0","0","0","0","0",
"XBMF","BR:TTA","2","BR:TTA","Y","0","0","0","0","0","0","0",
"XBMF","BR:TTB","2","BR:TTB","Y","0","0","0","0","0","0","0",
"XBMF","BR:TTC","2","BR:TTC","Y","0","0","0","0","0","0","0",
"XBMF","BR:TTD","2","BR:TTD","Y","0","0","0","0","0","0","0",
"XBMF","BR:TTE","2","BR:TTE","Y","0","0","0","0","0","0","0",
"XBMF","BR:VCA","2","BR:VCA","Y","0","0","0","0","0","0","0",
"XBMF","BR:VF2","2","BR:VF2","Y","0","0","0","0","0","0","0",
"XBMF","BR:VF3","2","BR:VF3","Y","0","0","0","0","0","0","0",
"XBMF","BR:VF4","2","BR:VF4","Y","0","0","0","0","0","0","0",
"XBMF","BR:VID","2","BR:VID","Y","0","0","0","0","0","0","0",
"XBMF","BR:VOI","2","BR:VOI","Y","0","0","0","0","0","0","0",
"XBMF","BR:VTC","2","BR:VTC","Y","0","0","0","0","0","0","0",
"XBMF","BR:WBG","2","BR:WBG","Y","0","0","0","0","0","0","0",
"XBMF","BR:WCF","2","BR:WCF","Y","0","0","0","0","0","0","0",
"XBMF","BR:WDL","2","BR:WDL","Y","0","0","0","0","0","0","0",
"XBMF","BR:WIN","2","BR:WIN","Y","0","0","0","0","0","0","0",
"XOCH","BR1C","3","BR1C","Y","0","0","0","0","0","0","0",
"XOCH","BRC1C","3","BRC1C","Y","0","0","0","0","0","0","0",
"XOCH","BRCD1C","3","BRCD1C","Y","0","0","0","0","0","0","0",
"XOCH","BRCM1C","3","BRCM1C","Y","0","0","0","0","0","0","0",
"XOCH","BRKB1C","3","BRKB1C","Y","0","0","0","0","0","0","0",
"XOCH","BRKL1C","3","BRKL1C","Y","0","0","0","0","0","0","0",
"XOCH","BRL1C","3","BRL1C","Y","0","0","0","0","0","0","0",
"XOCH","BRY1C","3","BRY1C","Y","0","0","0","0","0","0","0",
"XCBT","ZSC","b","BSC","N","0","0","0","0","0","0","0","original:|BZSC      BSC   b10   YY    EY|"
"XOCH","BSX1C","3","BSX1C","Y","0","0","0","0","0","0","0",
"XOCH","BTFG1C","3","BTFG1C","Y","0","0","0","0","0","0","0",
"XOCH","BTU1C","3","BTU1C","Y","0","0","0","0","0","0","0",
"XOCH","BUCY1C","3","BUCY1C","Y","0","0","0","0","0","0","0",
"XOCH","BUSE1C","3","BUSE1C","Y","0","0","0","0","0","0","0",
"XOCH","BVF1C","3","BVF1C","Y","0","0","0","0","0","0","0",
"XCBT","CW6","b","BW6","N","0","0","0","0","0","0","0","original:|BCW6      BW6   b10   YY    EY|"
"XCBT","WC6","b","BWC","N","0","0","0","0","0","0","0","original:|BWC6      BWC   b10   YY    EY|"
"XOCH","BWEN1C","3","BWEN1C","Y","0","0","0","0","0","0","0",
"XOCH","BWLD1C","3","BWLD1C","Y","0","0","0","0","0","0","0",
"XOCH","BWX1C","3","BWX1C","Y","0","0","0","0","0","0","0",
"XCBT","WZC","b","BWZ","N","0","0","0","0","0","0","0","original:|BWZC      BWZ   b10   YY    EY|"
"XOCH","BX1C","3","BX1C","Y","0","0","0","0","0","0","0",
"XOCH","BXP1C","3","BXP1C","Y","0","0","0","0","0","0","0",
"XOCH","BXS1C","3","BXS1C","Y","0","0","0","0","0","0","0",
"XCBT","PYC","b","BYC","N","0","0","0","0","0","0","0","original:|BPYC      BYC   b10   YY    EY|"
"XOCH","BYD1C","3","BYD1C","Y","0","0","0","0","0","0","0",
"XOCH","BYI1C","3","BYI1C","Y","0","0","0","0","0","0","0",
"NYUM","BZ","1","BZ","Y","0","0","0","0","0","0","0",
"XCBT","SZ5","b","BZ5","N","0","0","0","0","0","0","0","original:|BSZ5      BZ5   b10   YY    EY|"
